Starting at 2021-01-02--15-53-35
 
 
 
Iteration 1   2021-01-02--15-53-35
 
 dataflow_id |                            dataflow_name                             |          operator          | operator_id | total_records_per_operator | total_batches_per_operator | cpu_time_milliseconds 
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Distinct                   |        1786 |                     689260 |                         24 |                226789
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange: Distinct          |        1784 |                     870435 |                          9 |                108447
        1359 | Dataflow: materialize.public.mv_buy_top_items_day_primary_idx        | ReduceAccumulable          |        1660 |                    1010758 |                         16 |                 27275
        1974 | Dataflow: materialize.public.mv_items_inventory_status_primary_idx   | ReduceAccumulable          |        2025 |                     221719 |                         10 |                 23865
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Distinct                   |        1748 |                     146934 |                         20 |                 18006
         668 | Dataflow: materialize.public.idx_v_user_behavior_buy_item_id         | Arrange                    |         703 |                    1124903 |                         16 |                  9679
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | ReduceAccumulable          |        1801 |                          1 |                          3 |                  6813
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | ReduceAccumulable          |        1763 |                          1 |                          3 |                  5897
         739 | Dataflow: materialize.public.mv_buy_activity_time_primary_idx        | ReduceAccumulable          |        1040 |                        114 |                          8 |                  4636
        1049 | Dataflow: materialize.public.mv_buy_top_categories_day_primary_idx   | ReduceAccumulable          |        1350 |                        996 |                          9 |                  4314
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange: Distinct          |        1746 |                     278740 |                         12 |                  3644
         712 | Dataflow: materialize.public.idx_v_user_behavior_buy_sub_category_id | Arrange                    |         730 |                    1124870 |                         14 |                  3533
         668 | Dataflow: materialize.public.idx_v_user_behavior_buy_item_id         | Arrange-errors             |         707 |                          0 |                          2 |                  3329
         739 | Dataflow: materialize.public.mv_buy_activity_time_primary_idx        | Arrange: ReduceAccumulable |        1038 |                        109 |                         10 |                  3289
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange: ReduceAccumulable |        1799 |                          1 |                          3 |                  3086
        1974 | Dataflow: materialize.public.mv_items_inventory_status_primary_idx   | Arrange                    |        2182 |                     229989 |                         11 |                  3029
        1359 | Dataflow: materialize.public.mv_buy_top_items_day_primary_idx        | Arrange: ReduceAccumulable |        1658 |                     999468 |                         13 |                  2858
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange: ReduceAccumulable |        1761 |                          2 |                          3 |                  2685
        1049 | Dataflow: materialize.public.mv_buy_top_categories_day_primary_idx   | Arrange: ReduceAccumulable |        1348 |                        958 |                         10 |                  2468
        1974 | Dataflow: materialize.public.mv_items_inventory_status_primary_idx   | Arrange: ReduceAccumulable |        2023 |                     276960 |                         14 |                  2451
        1957 | Dataflow: materialize.public.test_primary_idx                        | Arrange                    |        1965 |                          0 |                          2 |                  2355
         739 | Dataflow: materialize.public.mv_buy_activity_time_primary_idx        | Arrange                    |        1044 |                          0 |                          2 |                  2352
         712 | Dataflow: materialize.public.idx_v_user_behavior_buy_sub_category_id | Arrange-errors             |         734 |                          0 |                          2 |                  2340
        2191 | Dataflow: materialize.public.mv_items_restock_primary_idx            | Arrange                    |        2214 |                         23 |                          6 |                  2055
        1957 | Dataflow: materialize.public.test_primary_idx                        | Arrange-errors             |        1969 |                          0 |                          2 |                  1896
        1049 | Dataflow: materialize.public.mv_buy_top_categories_day_primary_idx   | Arrange                    |        1354 |                          0 |                          2 |                  1855
        1359 | Dataflow: materialize.public.mv_buy_top_items_day_primary_idx        | Arrange                    |        1682 |                        144 |                          9 |                  1854
        2223 | Dataflow: materialize.public.tab_120c_v_primary_idx                  | Arrange                    |        2262 |                        105 |                          4 |                  1825
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | JoinStage: 0               |        1882 |                          1 |                          3 |                  1811
        1974 | Dataflow: materialize.public.mv_items_inventory_status_primary_idx   | Arrange-errors             |        2186 |                          0 |                          2 |                  1809
        2223 | Dataflow: materialize.public.tab_120c_v_primary_idx                  | Arrange-errors             |        2266 |                          0 |                          2 |                  1760
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange                    |        1845 |                          1 |                          3 |                  1736
        2191 | Dataflow: materialize.public.mv_items_restock_primary_idx            | Arrange-errors             |        2218 |                          0 |                          2 |                  1593
        2271 | Dataflow: materialize.public.tab_112c_v_primary_idx                  | Arrange                    |        2310 |                        199 |                          4 |                  1496
        2319 | Dataflow: materialize.public.repl_test_v_primary_idx                 | Arrange                    |        2358 |                          4 |                          4 |                  1419
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange                    |        1909 |                          3 |                          4 |                  1351
        1691 | Dataflow: materialize.public.mv_user_funnel_perc_primary_idx         | Arrange-errors             |        1913 |                          2 |                          3 |                  1298
